"Home.Team","Home.Score","Away.Score","Away.Team"
"Wolfsburg","2","1","Bayer Leverkusen"
"Stuttgart","2","0","Darmstadt 98"
"Hamburger SV","1","2","Hannover 96"
"Hoffenheim","0","1","Hamburger SV"
"Bayern München","4","0","Köln"
"Bayer Leverkusen","4","3","Stuttgart"
"Hannover 96","1","2","Eintracht Fran…"
"Mainz 05","1","3","Werder Bremen"
"Darmstadt 98","0","1","Wolfsburg"
"Ingolstadt","0","1","Hertha BSC"
"Borussia Dortmund","5","1","Augsburg"
"Borussia M'gla…","3","1","Schalke 04"
"Mainz 05","0","2","Borussia Dortmund"
"Schalke 04","2","1","Hertha BSC"
"Wolfsburg","4","2","Hoffenheim"
"Hamburger SV","0","0","Bayer Leverkusen"
"Augsburg","0","2","Darmstadt 98"
"Werder Bremen","0","1","Bayern München"
"Eintracht Fran…","1","5","Borussia M'gla…"
"Köln","0","1","Hannover 96"
"Stuttgart","1","0","Ingolstadt"
"Darmstadt 98","2","3","Mainz 05"
"Borussia M'gla…","2","0","Wolfsburg"
"Hannover 96","1","0","Werder Bremen"
"Hertha BSC","3","0","Hamburger SV"
"Hoffenheim","2","2","Stuttgart"
"Ingolstadt","2","0","Eintracht Fran…"
"Schalke 04","0","3","Köln"
"Bayern München","5","1","Borussia Dortmund"
"Bayer Leverkusen","1","1","Augsburg"
"Köln","1","1","Ingolstadt"
"Wolfsburg","1","1","Hannover 96"
"Stuttgart","1","3","Borussia M'gla…"
"Augsburg","1","3","Hoffenheim"
"Werder Bremen","0","3","Bayer Leverkusen"
"Mainz 05","0","3","Bayern München"
"Hamburger SV","0","1","Schalke 04"
"Eintracht Fran…","1","1","Hertha BSC"
"Borussia Dortmund","2","2","Darmstadt 98"
"Bayern München","5","1","Wolfsburg"
"Hertha BSC","2","0","Köln"
"Ingolstadt","0","1","Hamburger SV"
"Darmstadt 98","2","1","Werder Bremen"
"Schalke 04","2","0","Eintracht Fran…"
"Bayer Leverkusen","1","0","Mainz 05"
"Borussia M'gla…","4","2","Augsburg"
"Hannover 96","1","3","Stuttgart"
"Hoffenheim","1","1","Borussia Dortmund"
"Mainz 05","3","1","Hoffenheim"
"Wolfsburg","2","0","Hertha BSC"
"Hamburger SV","0","0","Eintracht Fran…"
