team_1,team_2,score,manager_1,manager_2,season,game_week
Grêmio Porto Alegre,Atlético GO,2:1 (2:1),Manager:   Vanderlei Luxemburgo,Manager:   Adilson Batista,2012,22
São Paulo FC,Internacional,1:1 (1:1),Manager:   Mílton Cruz,Manager:   Fernandão,2012,22
Cruzeiro EC,Botafogo RJ,1:3 (1:2),Manager:   Celso Roth,Manager:   Oswaldo de Oliveira,2012,22
Figueirense,Corinthians SP,1:0 (0:0),Manager:  ???,Manager:   Tite,2012,22
Fluminense RJ,Santos FC,3:1 (2:1),Manager:   Abel Braga,Manager:   Muricy Ramalho,2012,22
SE Palmeiras,Sport Club Recife,3:1 (0:0),Manager:   Luiz Felipe Scolari,Manager:   Vágner Mancini,2012,22
Ponte Preta,Figueirense,2:2 (1:2),Manager:  Gilson Kleina,Manager:  ???,2012,23
Coritiba FC,Flamengo RJ,3:0 (1:0),Manager:   Marquinhos Santos,Manager:   Dorival Júnior,2012,23
Corinthians SP,Grêmio Porto Alegre,3:1 (2:0),Manager:   Tite,Manager:   Vanderlei Luxemburgo,2012,23
Botafogo RJ,Clube Náutico,3:1 (2:0),Manager:   Oswaldo de Oliveira,Manager:   Alexandre Gallo,2012,23
Santos FC,São Paulo FC,0:0 (0:0),Manager:   Muricy Ramalho,Manager:   Mílton Cruz,2012,23
Internacional,Fluminense RJ,0:1 (0:1),Manager:   Fernandão,Manager:   Abel Braga,2012,23
Vasco da Gama,EC Bahia,0:4 (0:1),Manager:   Cristovão Borges,Manager:   Falcão,2012,23
Atlético Mineiro,SE Palmeiras,3:0 (0:0),Manager:   Cuca,Manager:   Luiz Felipe Scolari,2012,23
Sport Club Recife,Cruzeiro EC,2:1 (1:1),Manager:   Vágner Mancini,Manager:   Celso Roth,2012,23
Atlético GO,Portuguesa (SP),1:1 (1:0),Manager:   Adilson Batista,Manager:   Geninho,2012,23
Corinthians SP,Ponte Preta,1:1 (0:0),Manager:   Tite,Manager:  Gilson Kleina,2012,24
Portuguesa (SP),Fluminense RJ,0:2 (0:0),Manager:   Geninho,Manager:   Abel Braga,2012,24
Figueirense,Cruzeiro EC,2:0 (1:0),Manager:  ???,Manager:   Celso Roth,2012,24
Sport Club Recife,EC Bahia,1:1 (1:0),Manager:   Vágner Mancini,Manager:   Falcão,2012,24
Atlético GO,Coritiba FC,1:2 (1:1),Manager:   Adilson Batista,Manager:   Marquinhos Santos,2012,24
Vasco da Gama,SE Palmeiras,3:1 (1:1),Manager:   Marcelo Oliveira,Manager:   Luiz Felipe Scolari,2012,24
Santos FC,Flamengo RJ,2:0 (0:0),Manager:   Muricy Ramalho,Manager:   Dorival Júnior,2012,24
Atlético Mineiro,São Paulo FC,1:0 (0:0),Manager:   Cuca,Manager:   Mílton Cruz,2012,24
Botafogo RJ,Internacional,1:1 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Fernandão,2012,24
Grêmio Porto Alegre,Clube Náutico,2:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Alexandre Gallo,2012,24
Fluminense RJ,Atlético GO,1:2 (0:2),Manager:   Abel Braga,Manager:   Adilson Batista,2012,25
São Paulo FC,Portuguesa (SP),3:1 (1:1),Manager:   Mílton Cruz,Manager:   Geninho,2012,25
SE Palmeiras,Corinthians SP,0:2 (0:1),Manager:  ???,Manager:   Tite,2012,25
Cruzeiro EC,Vasco da Gama,1:1 (1:1),Manager:   Celso Roth,Manager:   Marcelo Oliveira,2012,25
Coritiba FC,Santos FC,1:2 (1:0),Manager:   Marquinhos Santos,Manager:   Muricy Ramalho,2012,25
Clube Náutico,Atlético Mineiro,1:0 (0:0),Manager:   Alexandre Gallo,Manager:   Cuca,2012,25
EC Bahia,Figueirense,2:1 (0:1),Manager:   Falcão,Manager:  ???,2012,25
Flamengo RJ,Grêmio Porto Alegre,1:1 (0:1),Manager:   Dorival Júnior,Manager:   Vanderlei Luxemburgo,2012,25
Internacional,Sport Club Recife,2:2 (0:2),Manager:   Fernandão,Manager:   Vágner Mancini,2012,25
Ponte Preta,Botafogo RJ,0:0 (0:0),Manager:  Gilson Kleina,Manager:   Oswaldo de Oliveira,2012,25
Fluminense RJ,Clube Náutico,2:1 (2:0),Manager:   Abel Braga,Manager:   Alexandre Gallo,2012,26
Figueirense,SE Palmeiras,1:3 (0:2),Manager:  ???,Manager:  Gilson Kleina,2012,26
Santos FC,Portuguesa (SP),1:3 (0:2),Manager:   Muricy Ramalho,Manager:   Geninho,2012,26
Botafogo RJ,Corinthians SP,2:2 (1:2),Manager:   Oswaldo de Oliveira,Manager:   Tite,2012,26
São Paulo FC,Cruzeiro EC,1:0 (0:0),Manager:   Mílton Cruz,Manager:   Celso Roth,2012,26
Ponte Preta,Vasco da Gama,0:0 (0:0),Manager:   Guto Ferreira,Manager:   Marcelo Oliveira,2012,26
Atlético GO,Flamengo RJ,1:2 (1:1),Manager:   Adilson Batista,Manager:   Dorival Júnior,2012,26
Internacional,EC Bahia,3:1 (2:0),Manager:   Fernandão,Manager:   Falcão,2012,26
Atlético Mineiro,Grêmio Porto Alegre,0:0 (0:0),Manager:   Cuca,Manager:   Vanderlei Luxemburgo,2012,26
Sport Club Recife,Coritiba FC,1:0 (0:0),Manager:   Vágner Mancini,Manager:   Marquinhos Santos,2012,26
Vasco da Gama,Figueirense,3:1 (1:1),Manager:   Marcelo Oliveira,Manager:  ???,2012,27
Cruzeiro EC,Internacional,0:0 (0:0),Manager:   Celso Roth,Manager:   Fernandão,2012,27
Portuguesa (SP),Atlético Mineiro,1:1 (0:0),Manager:   Geninho,Manager:   Cuca,2012,27
Clube Náutico,Atlético GO,2:0 (2:0),Manager:   Alexandre Gallo,Manager:   Adilson Batista,2012,27
SE Palmeiras,Ponte Preta,3:0 (2:0),Manager:  Gilson Kleina,Manager:   Guto Ferreira,2012,27
Flamengo RJ,Fluminense RJ,0:1 (0:1),Manager:   Dorival Júnior,Manager:   Abel Braga,2012,27
Corinthians SP,Sport Club Recife,3:0 (0:0),Manager:   Tite,Manager:   Vágner Mancini,2012,27
Coritiba FC,São Paulo FC,1:1 (0:0),Manager:   Marquinhos Santos,Manager:   Mílton Cruz,2012,27
EC Bahia,Botafogo RJ,2:0 (1:0),Manager:   Falcão,Manager:   Oswaldo de Oliveira,2012,27
Grêmio Porto Alegre,Santos FC,1:1 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Muricy Ramalho,2012,27
Flamengo RJ,EC Bahia,0:0 (0:0),Manager:   Dorival Júnior,Manager:   Falcão,2012,28
Portuguesa (SP),Sport Club Recife,5:1 (1:1),Manager:   Geninho,Manager:   Vágner Mancini,2012,28
Coritiba FC,Ponte Preta,1:0 (1:0),Manager:   Marquinhos Santos,Manager:   Guto Ferreira,2012,28
São Paulo FC,SE Palmeiras,3:0 (2:0),Manager:   Mílton Cruz,Manager:  Gilson Kleina,2012,28
Santos FC,Internacional,1:1 (1:0),Manager:   Muricy Ramalho,Manager:   Fernandão,2012,28
Clube Náutico,Corinthians SP,2:1 (1:1),Manager:   Alexandre Gallo,Manager:   Tite,2012,28
Atlético GO,Vasco da Gama,0:1 (0:0),Manager:   Adilson Batista,Manager:   Marcelo Oliveira,2012,28
Fluminense RJ,Botafogo RJ,1:0 (0:0),Manager:   Abel Braga,Manager:   Oswaldo de Oliveira,2012,28
Grêmio Porto Alegre,Cruzeiro EC,2:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Celso Roth,2012,28
Atlético Mineiro,Figueirense,6:0 (3:0),Manager:   Cuca,Manager:  ???,2012,28
Botafogo RJ,Santos FC,0:2 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Muricy Ramalho,2012,29
Cruzeiro EC,Portuguesa (SP),2:0 (1:0),Manager:   Celso Roth,Manager:   Geninho,2012,29
Ponte Preta,Clube Náutico,2:1 (0:1),Manager:   Guto Ferreira,Manager:   Alexandre Gallo,2012,29
Figueirense,Atlético GO,3:1 (2:1),Manager:  ???,Manager:   Adilson Batista,2012,29
EC Bahia,Fluminense RJ,0:2 (0:0),Manager:   Falcão,Manager:   Abel Braga,2012,29
Vasco da Gama,São Paulo FC,0:2 (0:1),Manager:   Marcelo Oliveira,Manager:   Mílton Cruz,2012,29
Corinthians SP,Flamengo RJ,3:2 (0:1),Manager:   Tite,Manager:   Dorival Júnior,2012,29
Internacional,Atlético Mineiro,3:0 (0:0),Manager:   Fernandão,Manager:   Cuca,2012,29
SE Palmeiras,Coritiba FC,0:1 (0:0),Manager:  Gilson Kleina,Manager:   Marquinhos Santos,2012,29
Sport Club Recife,Grêmio Porto Alegre,1:3 (0:1),Manager:   Vágner Mancini,Manager:   Vanderlei Luxemburgo,2012,29
Flamengo RJ,Cruzeiro EC,1:1 (1:1),Manager:   Dorival Júnior,Manager:   Celso Roth,2012,30
Atlético GO,Internacional,3:1 (0:1),Manager:   Adilson Batista,Manager:   Fernandão,2012,30
Portuguesa (SP),Corinthians SP,1:1 (1:1),Manager:   Geninho,Manager:   Tite,2012,30
Santos FC,Vasco da Gama,2:0 (1:0),Manager:   Muricy Ramalho,Manager:   Marcelo Oliveira,2012,30
