team_1,team_2,score,manager_1,manager_2,season,game_week
Santos FC,Flamengo RJ,2:2 (1:1),Manager:   Márcio Fernandes,Manager:   Caio Júnior,2008,20
Vasco da Gama,Internacional,4:0 (1:0),Manager:  ???,Manager:   Tite,2008,20
Fluminense RJ,Atlético Mineiro,1:0 (0:0),Manager:   Cuca,Manager:  ???,2008,20
Sport Club Recife,Botafogo RJ,0:1 (0:0),Manager:   Nelsinho Baptista,Manager:   Ney Franco,2008,20
SE Palmeiras,Coritiba FC,1:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Dorival Júnior,2008,20
EC Vitória BA,Sport Club Recife,0:0 (0:0),Manager:   Vágner Mancini,Manager:   Nelsinho Baptista,2008,21
Coritiba FC,Figueirense,3:0 (1:0),Manager:   Dorival Júnior,Manager:   Gusmão,2008,21
Botafogo RJ,Cruzeiro EC,1:0 (0:0),Manager:   Ney Franco,Manager:   Adilson Batista,2008,21
São Paulo FC,Atlético Paranaense,3:1 (0:1),Manager:   Muricy Ramalho,Manager:  ???,2008,21
Internacional,SE Palmeiras,4:1 (2:1),Manager:   Tite,Manager:   Vanderlei Luxemburgo,2008,21
Clube Náutico,Fluminense RJ,1:3 (1:1),Manager:   Roberto Fernandes,Manager:   Cuca,2008,21
Ipatinga FC,Santos FC,1:1 (0:0),Manager:   Márcio Bittencourt,Manager:   Márcio Fernandes,2008,21
Portuguesa (SP),Vasco da Gama,0:1 (0:0),Manager:  ???,Manager:  ???,2008,21
Flamengo RJ,Grêmio Porto Alegre,2:1 (1:0),Manager:   Caio Júnior,Manager:   Celso Roth,2008,21
Atlético Mineiro,Goiás EC,1:1 (1:1),Manager:  ???,Manager:   Hélio dos Anjos,2008,21
Fluminense RJ,Sport Club Recife,1:1 (0:1),Manager:   Cuca,Manager:   Nelsinho Baptista,2008,22
Figueirense,EC Vitória BA,1:2 (1:2),Manager:   Gusmão,Manager:   Vágner Mancini,2008,22
Internacional,Flamengo RJ,1:1 (1:0),Manager:   Tite,Manager:   Caio Júnior,2008,22
Santos FC,Cruzeiro EC,2:0 (1:0),Manager:   Márcio Fernandes,Manager:   Adilson Batista,2008,22
Coritiba FC,São Paulo FC,2:2 (1:1),Manager:   Dorival Júnior,Manager:   Muricy Ramalho,2008,22
Ipatinga FC,Goiás EC,1:0 (0:0),Manager:   Márcio Bittencourt,Manager:   Hélio dos Anjos,2008,22
SE Palmeiras,Portuguesa (SP),4:2 (4:0),Manager:   Vanderlei Luxemburgo,Manager:   Estevam Soares,2008,22
Clube Náutico,Grêmio Porto Alegre,1:1 (0:0),Manager:   Roberto Fernandes,Manager:   Celso Roth,2008,22
Vasco da Gama,Botafogo RJ,1:1 (0:0),Manager:  ???,Manager:   Ney Franco,2008,22
Atlético Mineiro,Atlético Paranaense,4:0 (2:0),Manager:  ???,Manager:  ???,2008,22
Botafogo RJ,Clube Náutico,1:1 (1:0),Manager:   Ney Franco,Manager:   Roberto Fernandes,2008,23
EC Vitória BA,Ipatinga FC,0:0 (0:0),Manager:   Vágner Mancini,Manager:   Márcio Bittencourt,2008,23
Goiás EC,Figueirense,2:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Gusmão,2008,23
Grêmio Porto Alegre,Vasco da Gama,2:1 (0:0),Manager:   Celso Roth,Manager:  ???,2008,23
Atlético Paranaense,SE Palmeiras,1:2 (0:1),Manager:  ???,Manager:   Vanderlei Luxemburgo,2008,23
Sport Club Recife,Internacional,1:0 (0:0),Manager:   Nelsinho Baptista,Manager:   Tite,2008,23
São Paulo FC,Santos FC,0:0 (0:0),Manager:   Muricy Ramalho,Manager:   Márcio Fernandes,2008,23
Portuguesa (SP),Atlético Mineiro,1:1 (0:1),Manager:   Estevam Soares,Manager:  ???,2008,23
Flamengo RJ,Fluminense RJ,2:2 (1:1),Manager:   Caio Júnior,Manager:   Cuca,2008,23
Cruzeiro EC,Coritiba FC,1:1 (1:0),Manager:   Adilson Batista,Manager:   Dorival Júnior,2008,23
Goiás EC,Atlético Paranaense,4:0 (3:0),Manager:   Hélio dos Anjos,Manager:  ???,2008,24
Santos FC,EC Vitória BA,2:0 (1:0),Manager:   Márcio Fernandes,Manager:   Vágner Mancini,2008,24
Figueirense,Flamengo RJ,2:3 (0:2),Manager:   Gusmão,Manager:   Caio Júnior,2008,24
Atlético Mineiro,São Paulo FC,1:1 (0:1),Manager:  ???,Manager:   Muricy Ramalho,2008,24
Vasco da Gama,Cruzeiro EC,1:3 (0:2),Manager:  ???,Manager:   Adilson Batista,2008,24
SE Palmeiras,Sport Club Recife,0:3 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Nelsinho Baptista,2008,24
Fluminense RJ,Grêmio Porto Alegre,0:0 (0:0),Manager:   Cuca,Manager:   Celso Roth,2008,24
Internacional,Portuguesa (SP),1:0 (1:0),Manager:   Tite,Manager:   Estevam Soares,2008,24
Coritiba FC,Botafogo RJ,0:1 (0:0),Manager:   Dorival Júnior,Manager:   Ney Franco,2008,24
Clube Náutico,Ipatinga FC,2:0 (0:0),Manager:   Roberto Fernandes,Manager:   Márcio Bittencourt,2008,24
Grêmio Porto Alegre,Goiás EC,1:2 (1:0),Manager:   Celso Roth,Manager:   Hélio dos Anjos,2008,25
Atlético Paranaense,Portuguesa (SP),2:0 (0:0),Manager:   Geninho,Manager:   Estevam Soares,2008,25
Ipatinga FC,Atlético Mineiro,3:2 (1:0),Manager:   Márcio Bittencourt,Manager:  ???,2008,25
Sport Club Recife,Figueirense,5:0 (2:0),Manager:   Nelsinho Baptista,Manager:   Gusmão,2008,25
Vasco da Gama,Clube Náutico,1:3 (1:1),Manager:  ???,Manager:   Roberto Fernandes,2008,25
Cruzeiro EC,SE Palmeiras,0:1 (0:1),Manager:   Adilson Batista,Manager:   Vanderlei Luxemburgo,2008,25
São Paulo FC,Flamengo RJ,2:0 (1:0),Manager:   Muricy Ramalho,Manager:   Caio Júnior,2008,25
Botafogo RJ,Internacional,1:2 (0:1),Manager:   Ney Franco,Manager:   Tite,2008,25
EC Vitória BA,Coritiba FC,1:0 (1:0),Manager:   Vágner Mancini,Manager:   Dorival Júnior,2008,25
Santos FC,Fluminense RJ,2:1 (1:0),Manager:   Márcio Fernandes,Manager:   Cuca,2008,25
Fluminense RJ,Coritiba FC,2:3 (2:1),Manager:   Cuca,Manager:   Dorival Júnior,2008,26
Goiás EC,Santos FC,4:1 (3:0),Manager:   Hélio dos Anjos,Manager:   Márcio Fernandes,2008,26
Atlético Mineiro,Clube Náutico,2:1 (1:1),Manager:  ???,Manager:   Roberto Fernandes,2008,26
Portuguesa (SP),Botafogo RJ,3:1 (0:1),Manager:   Estevam Soares,Manager:   Ney Franco,2008,26
Atlético Paranaense,Grêmio Porto Alegre,0:0 (0:0),Manager:   Geninho,Manager:   Celso Roth,2008,26
Sport Club Recife,São Paulo FC,0:0 (0:0),Manager:   Nelsinho Baptista,Manager:   Muricy Ramalho,2008,26
Figueirense,Cruzeiro EC,3:4 (2:2),Manager:  ???,Manager:   Adilson Batista,2008,26
Internacional,EC Vitória BA,1:0 (1:0),Manager:   Tite,Manager:   Vágner Mancini,2008,26
Flamengo RJ,Ipatinga FC,1:0 (1:0),Manager:   Caio Júnior,Manager:   Márcio Bittencourt,2008,26
SE Palmeiras,Vasco da Gama,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Renato Gaúcho,2008,26
Goiás EC,EC Vitória BA,3:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Vágner Mancini,2008,27
Flamengo RJ,Sport Club Recife,2:1 (0:0),Manager:   Caio Júnior,Manager:   Nelsinho Baptista,2008,27
Atlético Mineiro,Figueirense,0:0 (0:0),Manager:  ???,Manager:  ???,2008,27
Coritiba FC,Atlético Paranaense,1:1 (0:0),Manager:   Dorival Júnior,Manager:   Geninho,2008,27
Clube Náutico,SE Palmeiras,0:0 (0:0),Manager:   Roberto Fernandes,Manager:   Vanderlei Luxemburgo,2008,27
Ipatinga FC,Vasco da Gama,3:1 (1:0),Manager:   Márcio Bittencourt,Manager:   Renato Gaúcho,2008,27
São Paulo FC,Cruzeiro EC,2:0 (0:0),Manager:   Muricy Ramalho,Manager:   Adilson Batista,2008,27
Botafogo RJ,Fluminense RJ,1:1 (1:0),Manager:   Ney Franco,Manager:   Cuca,2008,27
Internacional,Grêmio Porto Alegre,4:1 (4:1),Manager:   Tite,Manager:   Celso Roth,2008,27
Santos FC,Portuguesa (SP),1:1 (0:0),Manager:   Márcio Fernandes,Manager:   Estevam Soares,2008,27
Fluminense RJ,Goiás EC,1:1 (1:1),Manager:   Cuca,Manager:   Hélio dos Anjos,2008,28
EC Vitória BA,Portuguesa (SP),3:1 (2:0),Manager:   Vágner Mancini,Manager:   Estevam Soares,2008,28
Cruzeiro EC,Sport Club Recife,1:0 (0:0),Manager:   Adilson Batista,Manager:   Nelsinho Baptista,2008,28
Grêmio Porto Alegre,Botafogo RJ,2:1 (1:1),Manager:   Celso Roth,Manager:   Ney Franco,2008,28
Ipatinga FC,São Paulo FC,1:3 (1:2),Manager:   Márcio Bittencourt,Manager:   Muricy Ramalho,2008,28
SE Palmeiras,Atlético Mineiro,3:1 (1:1),Manager:   Vanderlei Luxemburgo,Manager:  ???,2008,28
Santos FC,Atlético Paranaense,4:0 (2:0),Manager:   Márcio Fernandes,Manager:   Geninho,2008,28
Coritiba FC,Internacional,4:2 (1:1),Manager:   Dorival Júnior,Manager:   Tite,2008,28
Clube Náutico,Flamengo RJ,0:2 (0:1),Manager:   Roberto Fernandes,Manager:   Caio Júnior,2008,28
Vasco da Gama,Figueirense,2:4 (0:1),Manager:   Renato Gaúcho,Manager:  ???,2008,28
Grêmio Porto Alegre,Santos FC,2:0 (1:0),Manager:   Celso Roth,Manager:   Márcio Fernandes,2008,29
Sport Club Recife,Vasco da Gama,2:2 (1:2),Manager:   Nelsinho Baptista,Manager:   Renato Gaúcho,2008,29
Figueirense,SE Palmeiras,0:0 (0:0),Manager:  ???,Manager:   Vanderlei Luxemburgo,2008,29
Botafogo RJ,EC Vitória BA,3:1 (1:1),Manager:   Ney Franco,Manager:   Vágner Mancini,2008,29
Cruzeiro EC,Ipatinga FC,1:0 (1:0),Manager:   Adilson Batista,Manager:   Márcio Bittencourt,2008,29
São Paulo FC,Clube Náutico,1:0 (0:0),Manager:   Muricy Ramalho,Manager:   Roberto Fernandes,2008,29
Goiás EC,Internacional,1:1 (1:1),Manager:   Hélio dos Anjos,Manager:   Tite,2008,29
Portuguesa (SP),Coritiba FC,0:0 (0:0),Manager:   Estevam Soares,Manager:   Dorival Júnior,2008,29
Atlético Paranaense,Fluminense RJ,1:3 (1:2),Manager:   Geninho,Manager:   René Simões,2008,29
Flamengo RJ,Atlético Mineiro,0:3 (0:1),Manager:   Caio Júnior,Manager:  ???,2008,29
Botafogo RJ,Santos FC,0:1 (0:0),Manager:   Ney Franco,Manager:   Márcio Fernandes,2008,30
Internacional,Atlético Paranaense,2:1 (1:0),Manager:   Tite,Manager:   Geninho,2008,30
Figueirense,Ipatinga FC,1:1 (1:0),Manager:  ???,Manager:   Márcio Bittencourt,2008,30
EC Vitória BA,Fluminense RJ,2:2 (1:1),Manager:   Vágner Mancini,Manager:   René Simões,2008,30
Coritiba FC,Goiás EC,1:1 (0:1),Manager:   Dorival Júnior,Manager:   Hélio dos Anjos,2008,30
Atlético Mineiro,Cruzeiro EC,0:2 (0:1),Manager:  ???,Manager:   Adilson Batista,2008,30
SE Palmeiras,São Paulo FC,2:2 (0:2),Manager:   Vanderlei Luxemburgo,Manager:   Muricy Ramalho,2008,30
Portuguesa (SP),Grêmio Porto Alegre,2:0 (0:0),Manager:   Estevam Soares,Manager:   Celso Roth,2008,30
Sport Club Recife,Clube Náutico,2:2 (1:1),Manager:   Nelsinho Baptista,Manager:   Roberto Fernandes,2008,30
Vasco da Gama,Flamengo RJ,0:1 (0:1),Manager:   Renato Gaúcho,Manager:   Caio Júnior,2008,30
Goiás EC,Vasco da Gama,2:4 (1:2),Manager:   Hélio dos Anjos,Manager:   Renato Gaúcho,2008,31
Grêmio Porto Alegre,Sport Club Recife,1:0 (1:0),Manager:   Celso Roth,Manager:   Nelsinho Baptista,2008,31
Flamengo RJ,Coritiba FC,5:0 (2:0),Manager:   Caio Júnior,Manager:   Dorival Júnior,2008,31
São Paulo FC,EC Vitória BA,2:1 (1:1),Manager:   Muricy Ramalho,Manager:   Vágner Mancini,2008,31
Fluminense RJ,SE Palmeiras,3:0 (3:0),Manager:   René Simões,Manager:   Vanderlei Luxemburgo,2008,31
Ipatinga FC,Botafogo RJ,0:3 (0:2),Manager:   Márcio Bittencourt,Manager:   Ney Franco,2008,31
Santos FC,Figueirense,3:0 (2:0),Manager:   Márcio Fernandes,Manager:  ???,2008,31
Atlético Paranaense,Cruzeiro EC,1:0 (0:0),Manager:   Geninho,Manager:   Adilson Batista,2008,31
Clube Náutico,Portuguesa (SP),1:1 (1:0),Manager:   Roberto Fernandes,Manager:   Estevam Soares,2008,31
Atlético Mineiro,Internacional,2:2 (1:0),Manager:  ???,Manager:   Tite,2008,31
Portuguesa (SP),Ipatinga FC,2:0 (1:0),Manager:   Estevam Soares,Manager:   Enderson Moreira,2008,32
Coritiba FC,Atlético Mineiro,2:1 (0:1),Manager:   Dorival Júnior,Manager:  ???,2008,32
Internacional,Clube Náutico,1:1 (0:0),Manager:   Tite,Manager:   Roberto Fernandes,2008,32
SE Palmeiras,Goiás EC,1:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Hélio dos Anjos,2008,32
Botafogo RJ,São Paulo FC,1:2 (0:0),Manager:   Ney Franco,Manager:   Muricy Ramalho,2008,32
EC Vitória BA,Flamengo RJ,0:0 (0:0),Manager:   Vágner Mancini,Manager:   Caio Júnior,2008,32
Cruzeiro EC,Grêmio Porto Alegre,3:0 (1:0),Manager:   Adilson Batista,Manager:   Celso Roth,2008,32
Sport Club Recife,Santos FC,1:1 (1:1),Manager:   Nelsinho Baptista,Manager:   Márcio Fernandes,2008,32
Vasco da Gama,Atlético Paranaense,2:2 (1:1),Manager:   Renato Gaúcho,Manager:   Geninho,2008,32
Figueirense,Fluminense RJ,0:1 (0:1),Manager:  ???,Manager:   René Simões,2008,32
Flamengo RJ,Portuguesa (SP),2:2 (1:0),Manager:   Caio Júnior,Manager:   Estevam Soares,2008,33
Clube Náutico,EC Vitória BA,1:0 (1:0),Manager:   Roberto Fernandes,Manager:   Vágner Mancini,2008,33
Ipatinga FC,Coritiba FC,2:0 (0:0),Manager:   Enderson Moreira,Manager:   Dorival Júnior,2008,33
Goiás EC,Cruzeiro EC,3:0 (3:0),Manager:   Hélio dos Anjos,Manager:   Adilson Batista,2008,33
Santos FC,SE Palmeiras,1:2 (0:1),Manager:   Márcio Fernandes,Manager:   Vanderlei Luxemburgo,2008,33
Atlético Paranaense,Sport Club Recife,1:0 (0:0),Manager:   Geninho,Manager:   Nelsinho Baptista,2008,33
Atlético Mineiro,Botafogo RJ,2:1 (1:0),Manager:  ???,Manager:   Ney Franco,2008,33
Fluminense RJ,Vasco da Gama,0:1 (0:0),Manager:   René Simões,Manager:   Renato Gaúcho,2008,33
Grêmio Porto Alegre,Figueirense,1:1 (1:1),Manager:   Celso Roth,Manager:  ???,2008,33
São Paulo FC,Internacional,3:0 (1:0),Manager:   Muricy Ramalho,Manager:   Tite,2008,33
Portuguesa (SP),São Paulo FC,2:3 (2:2),Manager:   Estevam Soares,Manager:   Muricy Ramalho,2008,34
Vasco da Gama,Santos FC,1:0 (0:0),Manager:   Renato Gaúcho,Manager:   Márcio Fernandes,2008,34
Figueirense,Atlético Paranaense,0:2 (0:1),Manager:  ???,Manager:   Geninho,2008,34
Coritiba FC,Clube Náutico,0:0 (0:0),Manager:   Dorival Júnior,Manager:   Roberto Fernandes,2008,34
Sport Club Recife,Goiás EC,2:1 (2:1),Manager:   Nelsinho Baptista,Manager:   Hélio dos Anjos,2008,34
Cruzeiro EC,Fluminense RJ,1:0 (0:0),Manager:   Adilson Batista,Manager:   René Simões,2008,34
SE Palmeiras,Grêmio Porto Alegre,0:1 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Celso Roth,2008,34
Botafogo RJ,Flamengo RJ,0:1 (0:0),Manager:   Ney Franco,Manager:   Caio Júnior,2008,34
Internacional,Ipatinga FC,4:0 (3:0),Manager:   Tite,Manager:   Enderson Moreira,2008,34
EC Vitória BA,Atlético Mineiro,0:1 (0:0),Manager:   Vágner Mancini,Manager:  ???,2008,34
Atlético Mineiro,Vasco da Gama,4:1 (2:0),Manager:  ???,Manager:   Renato Gaúcho,2008,35
Fluminense RJ,Portuguesa (SP),3:1 (0:1),Manager:   René Simões,Manager:   Estevam Soares,2008,35
Clube Náutico,Cruzeiro EC,5:2 (2:1),Manager:   Roberto Fernandes,Manager:   Adilson Batista,2008,35
Ipatinga FC,Sport Club Recife,3:0 (1:0),Manager:   Enderson Moreira,Manager:   Nelsinho Baptista,2008,35
Goiás EC,Botafogo RJ,3:1 (2:0),Manager:   Hélio dos Anjos,Manager:   Ney Franco,2008,35
Flamengo RJ,SE Palmeiras,5:2 (2:1),Manager:   Caio Júnior,Manager:   Vanderlei Luxemburgo,2008,35
São Paulo FC,Figueirense,3:1 (2:1),Manager:   Muricy Ramalho,Manager:  ???,2008,35
Grêmio Porto Alegre,Coritiba FC,2:1 (1:0),Manager:   Celso Roth,Manager:   Dorival Júnior,2008,35
Santos FC,Internacional,1:0 (0:0),Manager:   Márcio Fernandes,Manager:   Tite,2008,35
Atlético Paranaense,EC Vitória BA,2:1 (1:1),Manager:   Geninho,Manager:   Vágner Mancini,2008,35
Figueirense,Clube Náutico,4:3 (3:2),Manager:   Pintado,Manager:   Roberto Fernandes,2008,36
Botafogo RJ,Atlético Paranaense,2:2 (1:0),Manager:   Ney Franco,Manager:   Geninho,2008,36
Portuguesa (SP),Goiás EC,0:0 (0:0),Manager:   Estevam Soares,Manager:   Hélio dos Anjos,2008,36
Coritiba FC,Santos FC,5:1 (1:0),Manager:   Dorival Júnior,Manager:   Márcio Fernandes,2008,36
EC Vitória BA,Grêmio Porto Alegre,4:2 (0:1),Manager:   Vágner Mancini,Manager:   Celso Roth,2008,36
Vasco da Gama,São Paulo FC,1:2 (1:1),Manager:   Renato Gaúcho,Manager:   Muricy Ramalho,2008,36
Cruzeiro EC,Flamengo RJ,3:2 (1:0),Manager:   Adilson Batista,Manager:   Caio Júnior,2008,36
Internacional,Fluminense RJ,0:2 (0:2),Manager:   Tite,Manager:   René Simões,2008,36
Sport Club Recife,Atlético Mineiro,3:0 (3:0),Manager:   Nelsinho Baptista,Manager:  ???,2008,36
SE Palmeiras,Ipatinga FC,2:0 (2:0),Manager:   Vanderlei Luxemburgo,Manager:   Enderson Moreira,2008,36
Botafogo RJ,Figueirense,1:3 (0:0),Manager:   Ney Franco,Manager:   Pintado,2008,37
Internacional,Cruzeiro EC,1:0 (1:0),Manager:   Tite,Manager:   Adilson Batista,2008,37
EC Vitória BA,SE Palmeiras,0:0 (0:0),Manager:   Vágner Mancini,Manager:   Vanderlei Luxemburgo,2008,37
Portuguesa (SP),Sport Club Recife,2:2 (2:1),Manager:   Estevam Soares,Manager:   Nelsinho Baptista,2008,37
Coritiba FC,Vasco da Gama,0:2 (0:1),Manager:   Dorival Júnior,Manager:   Renato Gaúcho,2008,37
Clube Náutico,Atlético Paranaense,2:1 (0:1),Manager:   Roberto Fernandes,Manager:   Geninho,2008,37
Flamengo RJ,Goiás EC,3:3 (3:2),Manager:   Caio Júnior,Manager:   Hélio dos Anjos,2008,37
Ipatinga FC,Grêmio Porto Alegre,1:4 (1:3),Manager:   Enderson Moreira,Manager:   Celso Roth,2008,37
Atlético Mineiro,Santos FC,0:0 (0:0),Manager:  ???,Manager:   Márcio Fernandes,2008,37
São Paulo FC,Fluminense RJ,1:1 (0:0),Manager:   Muricy Ramalho,Manager:   René Simões,2008,37
Fluminense RJ,Ipatinga FC,1:1 (0:0),Manager:   René Simões,Manager:   Enderson Moreira,2008,38
Grêmio Porto Alegre,Atlético Mineiro,2:0 (0:0),Manager:   Celso Roth,Manager:  ???,2008,38
Goiás EC,São Paulo FC,0:1 (0:1),Manager:   Hélio dos Anjos,Manager:   Muricy Ramalho,2008,38
Santos FC,Clube Náutico,0:0 (0:0),Manager:   Márcio Fernandes,Manager:   Roberto Fernandes,2008,38
Atlético Paranaense,Flamengo RJ,5:3 (3:2),Manager:   Geninho,Manager:   Caio Júnior,2008,38
Sport Club Recife,Coritiba FC,4:3 (3:2),Manager:   Nelsinho Baptista,Manager:   Dorival Júnior,2008,38
Vasco da Gama,EC Vitória BA,0:2 (0:1),Manager:   Renato Gaúcho,Manager:   Vágner Mancini,2008,38
Figueirense,Internacional,3:1 (0:1),Manager:   Pintado,Manager:   Tite,2008,38
Cruzeiro EC,Portuguesa (SP),4:1 (0:1),Manager:   Adilson Batista,Manager:   Estevam Soares,2008,38
SE Palmeiras,Botafogo RJ,0:1 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Ney Franco,2008,38
SE Palmeiras,Coritiba FC,2:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   René Simões,2009,1
Sport Club Recife,Grêmio Barueri,1:1 (1:0),Manager:   Nelsinho Baptista,Manager:   Estevam Soares,2009,1
Avaí FC,Atlético Mineiro,2:2 (1:0),Manager:   Paulo Silas,Manager:   Celso Roth,2009,1
Corinthians SP,Internacional,0:1 (0:1),Manager:   Mano Menezes,Manager:   Tite,2009,1
Atlético Paranaense,EC Vitória BA,0:2 (0:1),Manager:   Geninho,Manager:   Paulo César Carpegiani,2009,1
Fluminense RJ,São Paulo FC,1:0 (1:0),Manager:   Carlos Alberto Parreira,Manager:   Muricy Ramalho,2009,1
Cruzeiro EC,Flamengo RJ,2:0 (1:0),Manager:   Adilson Batista,Manager:   Cuca,2009,1
Santo André EC,Botafogo RJ,1:1 (1:0),Manager:   Sérgio Guedes,Manager:   Ney Franco,2009,1
Grêmio Porto Alegre,Santos FC,1:1 (0:0),Manager:  Marcelo Rospide,Manager:   Vágner Mancini,2009,1
Goiás EC,Clube Náutico,3:3 (2:1),Manager:   Hélio dos Anjos,Manager:   Waldemar Lemos,2009,1
Coritiba FC,Santo André EC,2:4 (1:3),Manager:   René Simões,Manager:   Sérgio Guedes,2009,2
Flamengo RJ,Avaí FC,0:0 (0:0),Manager:   Cuca,Manager:   Paulo Silas,2009,2
Atlético Mineiro,Grêmio Porto Alegre,2:1 (0:0),Manager:   Celso Roth,Manager:   Paulo Autuori,2009,2
São Paulo FC,Atlético Paranaense,2:2 (0:1),Manager:   Muricy Ramalho,Manager:   Geninho,2009,2
Santos FC,Goiás EC,3:3 (2:1),Manager:   Vágner Mancini,Manager:   Hélio dos Anjos,2009,2
Grêmio Barueri,Fluminense RJ,0:0 (0:0),Manager:   Estevam Soares,Manager:   Carlos Alberto Parreira,2009,2
Internacional,SE Palmeiras,2:0 (1:0),Manager:   Tite,Manager:   Vanderlei Luxemburgo,2009,2
EC Vitória BA,Sport Club Recife,1:0 (1:0),Manager:   Paulo César Carpegiani,Manager:   Nelsinho Baptista,2009,2
Clube Náutico,Cruzeiro EC,2:0 (0:0),Manager:   Waldemar Lemos,Manager:   Adilson Batista,2009,2
Botafogo RJ,Corinthians SP,0:0 (0:0),Manager:   Ney Franco,Manager:   Mano Menezes,2009,2
Corinthians SP,Grêmio Barueri,2:1 (1:0),Manager:   Mano Menezes,Manager:   Estevam Soares,2009,3
Goiás EC,Internacional,0:1 (0:0),Manager:   Hélio dos Anjos,Manager:   Tite,2009,3
Cruzeiro EC,EC Vitória BA,2:0 (2:0),Manager:   Adilson Batista,Manager:   Paulo César Carpegiani,2009,3
SE Palmeiras,São Paulo FC,0:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Muricy Ramalho,2009,3
Atlético Paranaense,Clube Náutico,2:3 (2:0),Manager:   Geninho,Manager:   Waldemar Lemos,2009,3
Grêmio Porto Alegre,Botafogo RJ,2:0 (0:0),Manager:   Paulo Autuori,Manager:   Ney Franco,2009,3
Fluminense RJ,Santos FC,1:4 (1:1),Manager:   Carlos Alberto Parreira,Manager:   Vágner Mancini,2009,3
Santo André EC,Flamengo RJ,1:2 (1:1),Manager:   Sérgio Guedes,Manager:   Cuca,2009,3
Sport Club Recife,Atlético Mineiro,2:3 (0:3),Manager:   Nelsinho Baptista,Manager:   Celso Roth,2009,3
Avaí FC,Coritiba FC,2:2 (1:1),Manager:   Paulo Silas,Manager:   René Simões,2009,3
Coritiba FC,Goiás EC,1:3 (0:3),Manager:   René Simões,Manager:   Hélio dos Anjos,2009,4
Atlético Mineiro,Santo André EC,0:0 (0:0),Manager:   Celso Roth,Manager:   Sérgio Guedes,2009,4
Botafogo RJ,Sport Club Recife,2:2 (0:2),Manager:   Ney Franco,Manager:  ???,2009,4
São Paulo FC,Cruzeiro EC,3:0 (2:0),Manager:   Muricy Ramalho,Manager:   Adilson Batista,2009,4
Santos FC,Corinthians SP,3:1 (2:0),Manager:   Vágner Mancini,Manager:   Mano Menezes,2009,4
Flamengo RJ,Atlético Paranaense,2:1 (1:0),Manager:   Cuca,Manager:   Geninho,2009,4
EC Vitória BA,Grêmio Porto Alegre,1:0 (0:0),Manager:   Paulo César Carpegiani,Manager:   Paulo Autuori,2009,4
Clube Náutico,Fluminense RJ,1:1 (0:1),Manager:   Waldemar Lemos,Manager:   Carlos Alberto Parreira,2009,4
Grêmio Barueri,SE Palmeiras,2:2 (0:0),Manager:   Estevam Soares,Manager:   Vanderlei Luxemburgo,2009,4
Internacional,Avaí FC,2:1 (1:0),Manager:   Tite,Manager:   Paulo Silas,2009,4
Santo André EC,Santos FC,3:3 (2:2),Manager:   Sérgio Guedes,Manager:   Vágner Mancini,2009,5
Grêmio Porto Alegre,Clube Náutico,3:0 (1:0),Manager:   Paulo Autuori,Manager:   Waldemar Lemos,2009,5
Corinthians SP,Coritiba FC,2:0 (1:0),Manager:   Mano Menezes,Manager:   René Simões,2009,5
SE Palmeiras,EC Vitória BA,2:1 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Paulo César Carpegiani,2009,5
Atlético Paranaense,Atlético Mineiro,0:4 (0:1),Manager:   Geninho,Manager:   Celso Roth,2009,5
Sport Club Recife,Flamengo RJ,4:2 (4:2),Manager:   Émerson Leão,Manager:   Cuca,2009,5
Avaí FC,São Paulo FC,0:0 (0:0),Manager:   Paulo Silas,Manager:   Muricy Ramalho,2009,5
Fluminense RJ,Botafogo RJ,1:0 (0:0),Manager:   Carlos Alberto Parreira,Manager:   Ney Franco,2009,5
Goiás EC,Grêmio Barueri,2:2 (1:1),Manager:   Hélio dos Anjos,Manager:   Estevam Soares,2009,5
Cruzeiro EC,Internacional,1:1 (0:1),Manager:   Adilson Batista,Manager:   Tite,2009,5
São Paulo FC,Santo André EC,1:1 (0:1),Manager:   Muricy Ramalho,Manager:   Sérgio Guedes,2009,6
Sport Club Recife,Atlético Paranaense,0:1 (0:0),Manager:   Émerson Leão,Manager:   Waldemar Lemos,2009,6
Botafogo RJ,Santos FC,2:0 (0:0),Manager:   Ney Franco,Manager:   Vágner Mancini,2009,6
Coritiba FC,Flamengo RJ,5:0 (2:0),Manager:   René Simões,Manager:   Cuca,2009,6
Fluminense RJ,Grêmio Porto Alegre,0:0 (0:0),Manager:   Carlos Alberto Parreira,Manager:   Paulo Autuori,2009,6
Goiás EC,Corinthians SP,0:0 (0:0),Manager:   Hélio dos Anjos,Manager:   Mano Menezes,2009,6
Atlético Mineiro,Clube Náutico,3:0 (1:0),Manager:   Celso Roth,Manager:   Márcio Bittencourt,2009,6
