team_1,team_2,score,manager_1,manager_2,season,game_week,team_1_score,team_2_score
Juventude RS,Fortaleza,2-2,Ivo Wortmann,Daniel Frasson,2006,37,2,2
Atlético Paranaense,Figueirense,1-4,Vadão,Waldemar Lemos,2006,37,1,4
São Caetano,Paraná Clube,0-2,Dorival Júnior,Caio Júnior,2006,37,0,2
SE Palmeiras,Internacional,1-4,Jair Picerni,Abel Braga,2006,37,1,4
Botafogo RJ,Corinthians SP,0-0,Cuca,Émerson Leão,2006,37,0,0
Internacional,Goiás EC,1-4,Abel Braga,Geninho,2006,38,1,4
Flamengo RJ,São Caetano,4-1,Ney Franco,Dorival Júnior,2006,38,4,1
Fluminense RJ,SE Palmeiras,1-1,Gusmão,Jair Picerni,2006,38,1,1
Cruzeiro EC,Botafogo RJ,3-1,Oswaldo de Oliveira,Cuca,2006,38,3,1
Corinthians SP,Juventude RS,5-3,Émerson Leão,Ivo Wortmann,2006,38,5,3
Paraná Clube,São Paulo FC,0-0,Caio Júnior,Muricy Ramalho,2006,38,0,0
Ponte Preta,Atlético Paranaense,1-1,Vanderlei Paiva,Vadão,2006,38,1,1
Figueirense,Vasco da Gama,0-0,Waldemar Lemos,Renato Gaúcho,2006,38,0,0
Fortaleza,Grêmio Porto Alegre,1-0,Daniel Frasson,Mano Menezes,2006,38,1,0
Santos FC,Santa Cruz FC,3-1,Vanderlei Luxemburgo,Mauricio Simões,2006,38,3,1
Figueirense,Atlético Paranaense,3-6,Mário Sérgio,Vadão,2007,1,3,6
Fluminense RJ,Cruzeiro EC,2-2,Renato Gaúcho,Dorival Júnior,2007,1,2,2
São Paulo FC,Goiás EC,2-0,Muricy Ramalho,Paulo Bonamigo,2007,1,2,0
Atlético Mineiro,Clube Náutico,2-1,???,Gusmão,2007,1,2,1
Flamengo RJ,SE Palmeiras,2-4,Ney Franco,Caio Júnior,2007,1,2,4
Internacional,Botafogo RJ,2-3,Alexandre Gallo,Cuca,2007,1,2,3
Paraná Clube,Grêmio Porto Alegre,3-0,Zetti,Mano Menezes,2007,1,3,0
América RN,Vasco da Gama,0-1,Lori Sandri,Celso Roth,2007,1,0,1
Corinthians SP,Juventude RS,1-0,Paulo César Carpegiani,Ivo Wortmann,2007,1,1,0
Sport Club Recife,Santos FC,4-1,Giba,Vanderlei Luxemburgo,2007,1,4,1
Atlético Paranaense,Internacional,2-1,Vadão,Alexandre Gallo,2007,2,2,1
Juventude RS,Paraná Clube,1-2,Flávio Campos,Zetti,2007,2,1,2
Santos FC,América RN,2-3,Vanderlei Luxemburgo,Lori Sandri,2007,2,2,3
Botafogo RJ,Atlético Mineiro,2-1,Cuca,???,2007,2,2,1
Cruzeiro EC,Corinthians SP,0-3,Dorival Júnior,Paulo César Carpegiani,2007,2,0,3
Goiás EC,Flamengo RJ,1-3,Paulo Bonamigo,Ney Franco,2007,2,1,3
SE Palmeiras,Figueirense,2-1,Caio Júnior,Mário Sérgio,2007,2,2,1
Grêmio Porto Alegre,Fluminense RJ,2-0,Mano Menezes,Renato Gaúcho,2007,2,2,0
Clube Náutico,São Paulo FC,1-0,Gusmão,Muricy Ramalho,2007,2,1,0
Vasco da Gama,Sport Club Recife,3-1,Celso Roth,Giba,2007,2,3,1
América RN,Figueirense,0-1,Lori Sandri,Mário Sérgio,2007,3,0,1
Corinthians SP,Atlético Mineiro,0-0,Paulo César Carpegiani,???,2007,3,0,0
Fluminense RJ,Internacional,3-0,Renato Gaúcho,Alexandre Gallo,2007,3,3,0
Atlético Paranaense,Santos FC,0-1,Vadão,Vanderlei Luxemburgo,2007,3,0,1
Grêmio Porto Alegre,Sport Club Recife,1-0,Mano Menezes,Giba,2007,3,1,0
Clube Náutico,Vasco da Gama,2-2,Gusmão,Celso Roth,2007,3,2,2
São Paulo FC,SE Palmeiras,0-0,Muricy Ramalho,Caio Júnior,2007,3,0,0
Cruzeiro EC,Paraná Clube,3-4,Dorival Júnior,Zetti,2007,3,3,4
Flamengo RJ,Botafogo RJ,2-2,Ney Franco,Cuca,2007,3,2,2
Goiás EC,Juventude RS,3-1,Paulo Bonamigo,Flávio Campos,2007,3,3,1
Atlético Mineiro,Atlético Paranaense,1-1,???,Vadão,2007,4,1,1
Botafogo RJ,Grêmio Porto Alegre,3-0,Cuca,Mano Menezes,2007,4,3,0
Figueirense,Goiás EC,2-1,Mário Sérgio,Paulo Bonamigo,2007,4,2,1
Juventude RS,América RN,3-0,Flávio Campos,Lori Sandri,2007,4,3,0
SE Palmeiras,Cruzeiro EC,1-3,Caio Júnior,Dorival Júnior,2007,4,1,3
Santos FC,Corinthians SP,1-1,Vanderlei Luxemburgo,Paulo César Carpegiani,2007,4,1,1
Sport Club Recife,Flamengo RJ,2-2,Giba,Ney Franco,2007,4,2,2
Paraná Clube,São Paulo FC,0-1,Zetti,Muricy Ramalho,2007,4,0,1
Vasco da Gama,Fluminense RJ,1-1,Celso Roth,Renato Gaúcho,2007,4,1,1
Internacional,Clube Náutico,2-0,Alexandre Gallo,Gusmão,2007,4,2,0
Clube Náutico,Paraná Clube,4-4,Gusmão,Zetti,2007,5,4,4
SE Palmeiras,Botafogo RJ,1-1,Caio Júnior,Cuca,2007,5,1,1
Vasco da Gama,Grêmio Porto Alegre,4-0,Celso Roth,Mano Menezes,2007,5,4,0
América RN,Corinthians SP,1-2,Lori Sandri,Paulo César Carpegiani,2007,5,1,2
Atlético Paranaense,Goiás EC,0-3,Vadão,Paulo Bonamigo,2007,5,0,3
Figueirense,Flamengo RJ,4-0,Mário Sérgio,Ney Franco,2007,5,4,0
Fluminense RJ,Sport Club Recife,3-0,Renato Gaúcho,Giba,2007,5,3,0
Cruzeiro EC,Juventude RS,2-3,Dorival Júnior,Flávio Campos,2007,5,2,3
Internacional,Santos FC,1-0,Alexandre Gallo,Vanderlei Luxemburgo,2007,5,1,0
São Paulo FC,Atlético Mineiro,0-1,Muricy Ramalho,???,2007,5,0,1
Corinthians SP,Paraná Clube,0-0,Paulo César Carpegiani,Zetti,2007,6,0,0
Flamengo RJ,Internacional,2-2,Ney Franco,Alexandre Gallo,2007,6,2,2
Grêmio Porto Alegre,Cruzeiro EC,0-2,Mano Menezes,Dorival Júnior,2007,6,0,2
Atlético Mineiro,Figueirense,4-1,???,Mário Sérgio,2007,6,4,1
Atlético Paranaense,Fluminense RJ,1-1,Antônio Lopes,Renato Gaúcho,2007,6,1,1
Goiás EC,SE Palmeiras,3-1,Paulo Bonamigo,Caio Júnior,2007,6,3,1
