"selection1_team_1","selection1_team_2","selection1_team_2_url","selection1_score","selection1_score_url"
"San Jose Earthquakes","Philadelphia Union","http://usa.worldfootball.net/teams/philadelphia-union/","1:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-san-jose-earthquakes-philadelphia-union/"
"FC Dallas","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","2:2 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-fc-dallas-new-york-rb/"
"Real Salt Lake","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-real-salt-lake-chicago-fire/"
"Columbus Crew","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","0:4 (0:3)","http://usa.worldfootball.net/report/major-league-soccer-2010-columbus-crew-seattle-sounders/"
"Houston Dynamo","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","1:2 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-houston-dynamo-toronto-fc/"
"Colorado Rapids","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:0 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-colorado-rapids-new-england-revolution/"
"Los Angeles Galaxy","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-los-angeles-galaxy-d-c-united/"
"CD Chivas","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","0:2 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-cd-chivas-kansas-city-wizards/"
"Kansas City Wizards","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","4:3 (1:3)","http://usa.worldfootball.net/report/major-league-soccer-2010-kansas-city-wizards-houston-dynamo/"
"FC Dallas","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","2:2 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-fc-dallas-new-england-revolution/"
"Los Angeles Galaxy","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","0:2 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-los-angeles-galaxy-new-york-rb/"
"Philadelphia Union","CD Chivas","http://usa.worldfootball.net/teams/cd-chivas/","3:0 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-philadelphia-union-cd-chivas/"
"Toronto FC","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","2:3 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-toronto-fc-san-jose-earthquakes/"
"D.C. United","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","1:3 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-d-c-united-houston-dynamo/"
"New England Revolution","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:2 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-england-revolution-columbus-crew/"
"Chicago Fire","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","0:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-chicago-fire-seattle-sounders/"
"Kansas City Wizards","FC Dallas","http://usa.worldfootball.net/teams/fc-dallas/","1:3 (0:2)","http://usa.worldfootball.net/report/major-league-soccer-2010-kansas-city-wizards-fc-dallas/"
"Real Salt Lake","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-real-salt-lake-colorado-rapids/"
"Colorado Rapids","Philadelphia Union","http://usa.worldfootball.net/teams/philadelphia-union/","4:1 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-colorado-rapids-philadelphia-union/"
"San Jose Earthquakes","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","0:3 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-san-jose-earthquakes-chicago-fire/"
"Seattle Sounders","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","3:2 (2:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-seattle-sounders-toronto-fc/"
"Philadelphia Union","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","1:1 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-philadelphia-union-houston-dynamo/"
"Columbus Crew","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-columbus-crew-san-jose-earthquakes/"
"New England Revolution","Real Salt Lake","http://usa.worldfootball.net/teams/real-salt-lake/","1:2 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-england-revolution-real-salt-lake/"
"New York RB","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","1:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-new-york-rb-sporting-kansas-city/"
"FC Dallas","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","3:0 (1:0)","http://usa.worldfootball.net/report/major-league-soccer-2010-fc-dallas-chicago-fire/"
"Colorado Rapids","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-colorado-rapids-d-c-united/"
"CD Chivas","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","1:2 (0:2)","http://usa.worldfootball.net/report/major-league-soccer-2010-cd-chivas-los-angeles-galaxy/"
"Philadelphia Union","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","0:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2010-philadelphia-union-los-angeles-galaxy/"
