GW,Home,Away,xG_H,xG_A
29,Frankfurt,Hoffenheim,0.57,1.89
29,Bremen,Augsburg,0.73,1.00
29,Köln,Leverkusen,2.07,1.97
29,Stuttgart,Bayern,1.02,1.16
29,Berlin,Hannover,2.51,1.39
29,Hamburg,Darmstadt,0.70,1.01
29,Ingolstadt,Gladbach,0.93,0.57
30,Bayern,Schalke,1.76,0.76
30,Leverkusen,Frankfurt,1.21,1.03
30,Augsburg,Stuttgart,2.24,0.84
30,Dortmund,Hamburg,1.08,0.17
30,Hoffenheim,Berlin,1.65,1.11
30,Bremen,Wolfsburg,2.81,1.14
30,Mainz,Köln,1.73,1.31
30,Hannover,Gladbach,2.17,0.35
30,Darmstadt,Ingolstadt,1.43,0.64
